Rk,Player,,2018-19
213,Mike Muscala,muscami01,5000000.00 
214,Dirk Nowitzki,nowitdi01,5000000.00 
215,Tony Parker,parketo01,5000000.00 
216,Jonathan Isaac,isaacjo01,4969080.00 
217,Mohamed Bamba,bambamo01,4865040.00 
218,Willie Cauley-Stein,caulewi01,4696875.00 
219,Dragan Bender,bendedr01,4661280.00 
220,Ron Baker,bakerro01,4544400.00 
221,Lauri Markkanen,markkla01,4536120.00 
222,Lance Stephenson,stephla01,4449000.00 
223,Kyle O'Quinn,oquinky01,4449000.00 
224,Ed Davis,davised01,4449000.00 
225,Wendell Carter Jr.,cartewe01,4441200.00 
226,Justin Holiday,holidju01,4384616.00 
227,Alex Len,lenal01,4350000.00 
228,Mike Scott,scottmi01,4320500.00 
229,Luc Mbah a Moute,mbahalu01,4320500.00 
230,Emmanuel Mudiay,mudiaem01,4294480.00 
231,Kris Dunn,dunnkr01,4221000.00 
232,Frank Ntilikina,ntilila01,4155720.00 
233,Glenn Robinson,robingl02,4075000.00 
234,Collin Sexton,sextoco01,4068600.00 
235,Al Jefferson,jeffeal01,4000000.00 
236,Stanley Johnson,johnsst04,3940402.00 
237,Buddy Hield,hieldbu01,3833760.00 
238,Dennis Smith Jr.,smithde03,3819960.00 
239,Kevin Knox,knoxke01,3739920.00 
240,J.J. Barea,bareajo01,3710850.00 
241,Nenê Hilário,hilarne01,3651480.00 
242,Zach Collins,colliza01,3628920.00 
243,Frank Kaminsky,kaminfr01,3627842.00 
244,Mikal Bridges,bridgmi01,3552960.00 
245,Mirza Teletovi?,teletmi01,3500000.00 
246,Michael Beasley,beaslmi01,3500000.00 
247,Jamal Murray,murraja01,3499800.00 
248,Rodney Hood,hoodro01,3472887.00 
249,Jodie Meeks,meeksjo01,3454500.00 
250,Justise Winslow,winslju01,3448926.00 
251,Malik Monk,monkma01,3447480.00 
252,Myles Turner,turnemy01,3410284.00 
253,Brook Lopez,lopezbr01,3382000.00 
254,Allonzo Trier,trieral01,3382000.00 
255,Shai Gilgeous-Alexander,gilgesh01,3375360.00 
256,Trey Lyles,lylestr01,3364249.00 
257,Ekpe Udoh,udohek01,3360000.00 
258,Devin Booker,bookede01,3314365.00 
259,Luke Kennard,kennalu01,3275280.00 
260,Cameron Payne,payneca01,3263295.00 
261,Troy Daniels,danietr01,3258539.00 
262,Kelly Oubre,oubreke01,3208630.00 
263,Miles Bridges,bridgmi02,3206640.00 
264,Marquese Chriss,chrisma01,3206160.00 
265,Tomas Satoransky,satorto01,3129187.00 
266,Bryn Forbes,forbebr01,3125000.00 
267,Donovan Mitchell,mitchdo01,3111480.00 
268,Terry Rozier,roziete01,3050390.00 
269,Jerome Robinson,robinje01,3046200.00 
270,Yogi Ferrell,ferreyo01,3000000.00 
271,Elfrid Payton,paytoel01,3000000.00 
272,Bam Adebayo,adebaba01,2955840.00 
273,Jakob Poeltl,poeltja01,2947320.00 
274,Michael Porter,portemi01,2894160.00 
275,Andrew Nicholson,nichoan01,2844429.00 
276,Justin Jackson,jacksju01,2807880.00 
277,Thon Maker,makerth01,2799720.00 
278,Seth Curry,curryse01,2795000.00 
279,Cedi Osman,osmande01,2775000.00 
280,Sam Dekker,dekkesa01,2760095.00 
281,Troy Brown,browntr01,2749080.00 
282,Guerschon Yabusele,yabusgu01,2667600.00 
283,Justin Patton,pattoju01,2667600.00 
284,Domantas Sabonis,sabondo01,2659800.00 
285,Jerian Grant,grantje02,2639314.00 
286,Zhaire Smith,smithzh01,2611800.00 
287,Delon Wright,wrighde01,2536898.00 
288,D.J. Wilson,wilsodj01,2534280.00 
289,Dario Saric,saricda01,2526840.00 
290,Taurean Prince,princta02,2526840.00 
291,Justin Anderson,anderju01,2516048.00 
292,Manu Ginóbili,ginobma01,2500000.00 
293,Dante Cunningham,cunnida01,2500000.00 
294,Reggie Bullock,bullore01,2500000.00 
295,Bobby Portis,portibo01,2494346.00 
296,Donte DiVincenzo,divindo01,2481000.00 
297,Rondae Hollis-Jefferson,holliro01,2470357.00 
298,Tyus Jones,jonesty01,2444053.00 
299,Jarell Martin,martija01,2416222.00 
300,TJ Leaf,leaftj01,2407560.00 
301,JaVale McGee,mcgeeja01,2393887.00 
302,Gerald Green,greenge01,2393887.00 
303,Jeff Green,greenje02,2393887.00 
304,Amir Johnson,johnsam01,2393887.00 
305,Raymond Felton,feltora01,2393887.00 
306,Luol Deng,denglu01,2393887.00 
307,Udonis Haslem,hasleud01,2393887.00 
308,Dwyane Wade,wadedw01,2393887.00 
309,Andrew Bogut,bogutan01,2393887.00 
310,José Calderón,caldejo01,2393887.00 
311,Zaza Pachulia,pachuza01,2393887.00 
312,Devin Harris,harride01,2393887.00 
313,Channing Frye,fryech01,2393887.00 
314,Carmelo Anthony,anthoca01,2393887.00 
315,Vince Carter,cartevi01,2393887.00 
