Starter (=1),FULL NAME,ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.,TEAM,POS,Win %
,Hamidou Diallo,102.8,96.4,Okc,G,
,Terrance Ferguson,111.9,101.8,Okc,G,
,,,,,,0.512195122
1,Nikola Vucevic,115.4,101,Orl,C,
1,Aaron Gordon,107.3,104.6,Orl,F,
1,Jonathan Isaac,107.1,103.7,Orl,F,
1,D.J. Augustin,122.7,108.7,Orl,G,
1,Evan Fournier,104.2,103.8,Orl,G-F,
,Khem Birch,135.8,98.9,Orl,C,
,Amile Jefferson,147.3,96,Orl,F,
,Jarell Martin,105.6,94.9,Orl,F,
,Michael Carter-Williams,111.5,99.5,Orl,G,
,Jerian Grant,108.4,103.2,Orl,G,
,,,,,,0.6219512195
1,Joel Embiid,113.7,98.7,Phi,F-C,
1,Robert Covington,102.3,101.2,Phi,F,
1,Dario Saric,99,103.6,Phi,F,
1,Markelle Fultz,99.4,100.9,Phi,G,
1,Ben Simmons,113.8,103.1,Phi,G-F,
,Greg Monroe,154.5,103.3,Phi,C,
,Jonah Bolden,111.4,96.2,Phi,F,
,Jonathon Simmons,112.2,103.1,Phi,F,
,Demetrius Jackson,138.3,104.5,Phi,G,
,Landry Shamet,119.4,105.9,Phi,G,
,,,,,,0.2317073171
1,Deandre Ayton,117.7,106.6,Pho,C,
1,Ryan Anderson,91.8,112.9,Pho,F,
1,Trevor Ariza,104.5,113.7,Pho,F,
1,Josh Jackson,91.8,108,Pho,F,
1,Devin Booker,109.4,111.8,Pho,G,
,Richaun Holmes,127.7,100.2,Pho,F-C,
,Ray Spalding,99.9,98.2,Pho,F,
,Emanuel Terry,107.9,88.6,Pho,F,
,Troy Daniels,104.6,110.3,Pho,G,
,Tyler Johnson,112,114.6,Pho,G,
,,,,,,0.6463414634
1,Jusuf Nurkic,116.5,96.7,Por,C,
1,Al-Farouq Aminu,118.3,105.1,Por,F,
1,Maurice Harkless,114.4,100.5,Por,F,
1,Damian Lillard,121.5,109.1,Por,G,
1,CJ McCollum,113.4,107.8,Por,G,
,Meyers Leonard,129.2,100.1,Por,F-C,
,Skal Labissiere,129,96.9,Por,F,
,Jake Layman,117.6,105.4,Por,F,
,Seth Curry,113.3,108.7,Por,G,
,Rodney Hood,111.8,108.6,Por,G,
,,,,,,0.4756097561
