Starter (=1),FULL NAME,TEAM,POS,ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.,Win %
,James Ennis III,Hou,F,123.6,103.2,
,James Nunnally,Hou,F,83.7,102.6,
1,PJ Tucker,Hou,F,114.9,104.4,
,Kenneth Faried,Hou,F-C,127.2,99.9,
,Isaiah Hartenstein,Hou,F-C,114.6,87.8,
,Danuel House Jr.,Hou,F-G,123,107.1,
,Michael Carter-Williams,Hou,G,99.6,94.8,
,Chris Chiozza,Hou,G,97.6,109.4,
1,Eric Gordon,Hou,G,108.2,110.6,
1,James Harden,Hou,G,118.6,103.5,
,Brandon Knight,Hou,G,78.7,104.9,
1,Chris Paul,Hou,G,118.5,104.9,
,Austin Rivers,Hou,G,109.2,106.9,
,Iman Shumpert,Hou,G,96.2,105.5,
,Gerald Green,Hou,G-F,107.6,107,
,,,,,,0.5853658537
,Kyle O'Quinn,Ind,C,106.5,87.9,
1,Bojan Bogdanovic,Ind,F,114.3,106.1,
,Alize Johnson,Ind,F,87.2,97.1,
,TJ Leaf,Ind,F,119.7,103.8,
,Doug McDermott,Ind,F,117,105.8,
,Domantas Sabonis,Ind,F,118.5,92.8,
1,Thaddeus Young,Ind,F,113.6,101.6,
1,Myles Turner,Ind,F-C,110.1,98.9,
1,Darren Collison,Ind,G,118.4,104.3,
,Tyreke Evans,Ind,G,93.9,101.8,
,Aaron Holiday,Ind,G,102.5,100.4,
,Cory Joseph,Ind,G,104.9,103.9,
1,Victor Oladipo,Ind,G,104.1,102.3,
,Davon Reed,Ind,G,108.2,106.3,
,Edmond Sumner,Ind,G,91.2,97.9,
,Wesley Matthews,Ind,G-F,105.9,104.8,
,,,,,,0.5853658537
,Angel Delgado,Lac,C,79.2,98.9,
1,Marcin Gortat,Lac,C,110.8,99.9,
,Boban Marjanovic,Lac,C,123.3,95.9,
,Ivica Zubac,Lac,C,114,99.1,
,Wilson Chandler,Lac,F,94,101,
1,Danilo Gallinari,Lac,F,125.1,107.6,
,JaMychal Green,Lac,F,113.7,96.2,
1,Tobias Harris,Lac,F,114.8,106.7,
,Luc Mbah a Moute,Lac,F,98.2,103.6,
,Johnathan Motley,Lac,F,106.7,94.7,
,Mike Scott,Lac,F,104.6,101.3,
,Montrezl Harrell,Lac,F-C,122.9,101.7,
1,Patrick Beverley,Lac,G,119,101.7,
1,Avery Bradley,Lac,G,93.6,108.1,
,Shai Gilgeous-Alexander,Lac,G,107.9,107.3,
,Jerome Robinson,Lac,G,96.5,100.4,
,Landry Shamet,Lac,G,120.1,110.1,
,Milos Teodosic,Lac,G,92.7,98.2,
,Sindarius Thornwell,Lac,G,87.9,100.8,
,Tyrone Wallace,Lac,G,89.7,101.2,
,Lou Williams,Lac,G,111.8,112.1,
,Garrett Temple,Lac,G-F,106.9,100.3,
,,,,,,0.4512195122
,Tyson Chandler,Lal,C,122.7,99.5,
1,JaVale McGee,Lal,C,117.9,98.3,
,Moritz Wagner,Lal,C,96.4,100.4,
,Ivica Zubac,Lal,C,120.7,97.9,
,Michael Beasley,Lal,F,98.8,96.9,
1,Brandon Ingram,Lal,F,104.2,106,
1,LeBron James,Lal,F,114.4,106.2,
,Jemerrio Jones,Lal,F,103.4,102.7,
,Kyle Kuzma,Lal,F,105.8,106.8,
,Svi Mykhailiuk,Lal,F,91.9,109.8,
,Johnathan Williams,Lal,F,121.3,96.8,
,Mike Muscala,Lal,F-C,117.2,107.3,
1,Lonzo Ball,Lal,G,100.6,104.3,
,Isaac Bonga,Lal,G,73.2,103.5,
1,Kentavious Caldwell-Pope,Lal,G,112.8,107.7,
,Alex Caruso,Lal,G,109.6,103.7,
,Josh Hart,Lal,G,103.4,104.8,
,Scott Machado,Lal,G,165.4,105.6,
,Rajon Rondo,Lal,G,100.5,105.2,
,Lance Stephenson,Lal,G,101.2,102.4,
,Reggie Bullock,Lal,G-F,107.6,109.1,
,,,,,,0.4024390244
1,Marc Gasol,Mem,C,106.6,101.5,
,Joakim Noah,Mem,C,113.8,94.2,
,Jonas Valanciunas,Mem,C,109.4,96.5,
,Tyler Zeller,Mem,C,126.8,93.4,
1,Kyle Anderson,Mem,F,110.8,102.3,
,Bruno Caboclo,Mem,F,110.3,102.6,
,Omri Casspi,Mem,F,113.1,104,
1,JaMychal Green,Mem,F,106.4,95.7,
,Chandler Parsons,Mem,F,91.3,103.2,
,Ivan Rabb,Mem,F,118.3,98.3,
,Jaren Jackson Jr.,Mem,F-C,108.2,96.9,
,Justin Holiday,Mem,F-G,96.8,106.4,
,CJ Miles,Mem,F-G,104.3,108.8,
,Julian Washburn,Mem,F-G,89.2,105.4,
,Avery Bradley,Mem,G,107.1,106.5,
,MarShon Brooks,Mem,G,99,106,
,Jevon Carter,Mem,G,90.9,103.2,
1,Mike Conley,Mem,G,117.1,108.6,
,Tyler Dorsey,Mem,G,108.7,106.7,
,Dusty Hannahs,Mem,G,78.3,111.7,
,Andrew Harrison,Mem,G,96.8,94.3,
,Shelvin Mack,Mem,G,102.8,107.6,
,Yuta Watanabe,Mem,G,76.1,106.5,
,Delon Wright,Mem,G,111.2,105.1,
1,Dillon Brooks,Mem,G-F,94.2,98.5,
,Wayne Selden,Mem,G-F,98.1,104.4,
,DJ Stephens,Mem,G-F,59.7,110.2,
,Garrett Temple,Mem,G-F,102.9,105,
,,,,,,0.4756097561
1,Hassan Whiteside,Mia,C,112.4,93.5,
,Bam Adebayo,Mia,C-F,120,97.2,
,Ryan Anderson,Mia,F,86.6,108.3,
,Udonis Haslem,Mia,F,77.3,95.1,
1,James Johnson,Mia,F,102.1,101.4,
,Yante Maten,Mia,F,70.8,108.9,
,Kelly Olynyk,Mia,F,113.9,100.1,
1,Josh Richardson,Mia,F,111.6,105,
,Duncan Robinson,Mia,F,102.4,105.5,
,Justise Winslow,Mia,F,102.6,101.5,
,Derrick Jones Jr.,Mia,F-G,113.7,100,
1,Goran Dragic,Mia,G,106.6,104.5,
,Wayne Ellington,Mia,G,110.3,104.8,
,Tyler Johnson,Mia,G,105.6,106.2,
,Dwyane Wade,Mia,G,102.4,105.9,
1,Dion Waiters,Mia,G,102.8,106.7,
,Rodney McGruder,Mia,G-F,104.1,105.1,
,,,,,,0.7317073171
1,Brook Lopez,Mil,C,112.7,100.6,
,Pau Gasol,Mil,C-F,59,102.7,
1,Giannis Antetokounmpo,Mil,F,121.6,93.9,
,Bonzie Colson,Mil,F,100.9,102.6,
,John Henson,Mil,F,108.8,95.9,
,Ersan Ilyasova,Mil,F,112.8,94.1,
,Thon Maker,Mil,F,112.5,94.1,
1,Khris Middleton,Mil,F,108.9,100.7,
,Nikola Mirotic,Mil,F,113.7,100.9,
,D.J. Wilson,Mil,F,106.2,98.1,
,Christian Wood,Mil,F,115.2,102.9,
,Jason Smith,Mil,F-C,80,91,
1,Eric Bledsoe,Mil,G,115.8,101,
1,Malcolm Brogdon,Mil,G,120.9,104.1,
,Sterling Brown,Mil,G,109.6,100.4,
,Isaiah Canaan,Mil,G,95.3,105.1,
,Pat Connaughton,Mil,G,122.2,102.2,
,Matthew Dellavedova,Mil,G,99.2,101.1,
,Donte DiVincenzo,Mil,G,102.2,99.9,
,Tim Frazier,Mil,G,109.2,101.1,
,George Hill,Mil,G,113.8,102.2,
,Jaylen Morris,Mil,G,99.9,102.1,
,Tony Snell,Mil,G,119.1,103.6,
,,,,,,0.4390243902
,Gorgui Dieng,Min,C,114.4,99.4,
,Keita Bates-Diop,Min,F,100.7,110.4,
,Robert Covington,Min,F,114.7,103.3,
,Mitchell Creek,Min,F,96.4,115.1,
,Luol Deng,Min,F,116.8,109.8,
1,Taj Gibson,Min,F,123.5,103.9,
,James Nunnally,Min,F,124.4,113.1,
,Dario Saric,Min,F,116.2,106.9,
,Anthony Tolliver,Min,F,109.8,108.2,
1,Karl-Anthony Towns,Min,F-C,118.5,100.6,
